UNI_ST_UNIDADE,PRO_ST_DEFITEM,PRO_IN_CODIGO,PRO_ST_DESCRICAO,GRU_IDE_ST_CODIGO
UN,CO,9423,CIM_P2 01_TCT_ADL,15
PC,MP,8732,"SOLEIRA PEDRA NATURAL 240X3,5X2CM",15
M2,MP,8733,CERÂMICA PARA PISO 56X56 ESMALTADO PEI5,15
UN,MP,8734,"PARAFUSO TELHEIRO PA 5/16""X110MM C/ BORRACHA DE VEDAÇÃO EPDM",15
PC,MP,8739,CANTONEIRA DE ANCORAGEM 50X150MM C ESTAMPA (9F) TRATADA,01
PC,MP,8740,CANTONEIRA DE ANCORAGEM 50X150MM C ESTAMPA 9F A TRATAR,01
UN,MP,8898,"BUCHA DE REDUÇÃO SOLDÁVEL LONGA 60X32MM, PVC MARROM, ÁGUA FRIA",15
PC,MP,8899,TELHA FIBROCIMENTO ONDULADA TOPCOMFORT 1830X1100MM ESP 6MM,15
UN,MP,8992,PORTA MADEIRA 70X210CM,01
M,MP,8993,"CABO FLEXIVEL ANT.CHAMA 750V - 70 C4 4,00MM PRETO",01
M2,OU,9161,LONA PRETA 130 MICRAS,07
BD,MP,9261,MASSA PRONTA PARA JUNTAS SUPERBOARD 22KG,15
R,OU,9262,FITA TELADA SUPERBOARD 5CMX90M,15
BD,MP,9263,"REVESTIMENTO LISO SUPERBOARD 28,5 KG",15
BD,MP,9264,REVESTIMENTO TEXTURIZADO SUPERBOARD 26KG,15
UN,DI,9273,NÍVEL BOLHA STARRETT,15
UN,MP,9374,"PINUS APARELHADO 45X190X3660MM 4,0KG CCA",01
UN,DI,8741,ADAPTADOR PLACA DE REDE COM HUB 3 PORTAS USB,15
UN,DI,8742,HUB USB 4 PORTAS,07
UN,DI,8743,ADAPTADOR DISPLAYPORT P/ HDMI,07
UN,OU,8744,"CABO HDMI 1,8M",15
UN,OU,8745,"CABO HDMI 3,0M",07
UN,OU,8836,VÁLVULA DO GATILHO CN70,07
UN,OU,8837,KIT MANUTENÇÃO CN70,07
UN,OU,8838,KIT MANUTENÇÃO CN80,07
M2,MP,8956,"CERÂMICA P/ PISO 44,5X44,5 CM BEGE ACETINADO BASE ÚMIDA",15
UN,MP,8957,PORTA ALUMÍNIO LAMBRIL 90X220 GIRO A DIREITA BRANCO,15
UN,MP,8958,PORTA ALUMÍNIO LAMBRIL 90X220 GIRO A ESQUERDA BRANCO,15
UN,MP,8963,COIFA DE VEDAÇÃO TRIPLA PEX 16-16X40X75MM,15
UN,MP,8965,TRELIÇA T A-1_TCT_ADL,15
UN,MP,8966,TRELIÇA T A-2_TCT_ADL,15
UN,MP,8967,TRELIÇA T C.1_TCT_ADL,01
UN,MP,8968,OITÃO TRELIÇADO OT- 01_TCT_ADL,15
UN,MP,8969,OITÃO TRELIÇADO OT- 02_TCT_ADL,15
UN,OU,8714,PRATI-SAL SEM SABOR SACHE,15
UN,OU,8722,CABO USB,15
UN,OU,8831,TOUCA DE PROTEÇÃO TIPO ARABE,07
UN,OU,8901,SUPORTE P/ APLICADOR DE SILICONE,15
UN,OU,9013,"REBITE METÁLICO 5X5,5MM",15
UN,MP,9218,CORANTE LIQUIDO VERDE 50ML (PIGMENTO),07
UN,OU,9219,SOQUETE DE IMPACTO T25 - TX25,07
SE,SE,9220,SERVIÇO DE DESENVOLVIMENTO DE WEBSITE,09
UN,MP,9362,"JOELHO BASE FIXA ROSCA FÊMEA C/ ABA PARA FIXAR 20MMX1/2"" GÁS",15
UN,MP,9363,JOELHO 90° 20MMX20MM GÁS PEX MULTICAMADA,01
UN,MP,9364,"CONEXÃO FÊMEA CLICPEX 20X3/4""",15
UN,MP,9365,"CONEXÃO MACHO CLICPEX 25X3/4""",15
UN,MP,9366,"JOELHO BASE FIXA CLICPEX 20X1/2""",15
UN,MP,9406,DISJUNTOR 50A 6KA 2P CURVA C SOPRANO,15
UN,MP,9407,DISJUNTOR 32A 3KA 2P CURVA C STECK,01
UN,MP,9408,DISJUNTOR 20A -6KA 1P CURVA C,15
M,MP,9409,"ELETRODUTO DE PVC ANTI CHAMA CORRUGADO 3/4"" LEVE AMARELO - INATIVAR",15
KG,MP,8773,PREGO 22x48,15
SE,SE,8785,MENSALIDADE ASSOCIATIVA,09
UN,OU,8861,SERRA COPO 35MM,07
UN,OU,8867,"CORRENTE 3,0MM 1/8 GALVANIZADO",15
M,MP,9310,"CABO FLEXÍVEL 750V TERRA-4,0MM² BRASILEIRINHO",15
UN,MP,9311,PARAFUSO TBS 8X280MM,01
UN,OU,9419,COTOVELO 20X20MM GÁS PEX MULTICAMADA,15
PC,MP,9420,"CONEXÃO FIXA MACHO 25X3/4"" PEX MONOCAMADA",15
PC,MP,9421,CARENAGEM ASTRA CAR/191E,01
UN,CO,9424,CIM_P2 03_TCT_ADL,15
UN,CO,9425,CIM_P2 08_TCT_ADL,15
UN,CO,9426,CIM_P2 45_TCT_ADL,15
UN,CO,9427,CIM_P2 50_TCT_ADL,15
UN,CO,9428,CIM_PT 01_TCT_ADL,15
UN,CO,9429,CIM_PT 02_TCT_ADL,15
UN,CO,9430,CIM_PT 03_TCT_ADL,15
UN,CO,9431,CIM_PT 08_TCT_ADL,15
UN,OU,8903,CONTAINER,07
M,OU,8906,ROLDANA PVC 36X36 COM 200 PEÇAS,15
PCT,OU,8907,SAL REFINADO 1KG,15
UN,MT,8908,BARRA LAMINADA,15
UN,OU,8909,HP ELITEBOOK 820 G3 17RAM 8GB 256GB SSD,15
UN,OU,8910,HP PROBOOK 640 G2 I5 MRAM 8GB 1TB HB,15
UN,OU,8911,"KING SSD 240GB 2,5",15
UN,OU,8912,NOTEBOOK LENOVO IDEAPAD 330S 15ARR,15
UN,MP,8970,OITÃO TRELIÇADO OT- 03_TCT_ADL,15
UN,MP,8971,TRELIÇA TA-01 HME_PAU,15
UN,MP,8973,TRELIÇA TA-02 HME_PAU,15
PC,PA,8980,KIT SHAFT COZINHA TIPO 01_TCT_SLB,04
PC,PA,8981,KIT SHAFT COZINHA TIPO 02_TCT_SLB,04
PC,PA,8982,KIT SHAFT BWC TIPO 01_TCT_SLB,04
PC,PA,8983,KIT SHAFT BWC TIPO 02_TCT_SLB,04
PC,PA,8984,KIT HIDRÔMETRO 4PAV_TCT_SLB,04
PC,PA,8985,"KIT SHAFT HIDRÔMETRO BLOCO D,M TIPO 1_TCT_SLB",04
UN,MP,8778,PINUS APARELHADO 45X190X3050MM,01
M,OU,8874,BARRAMENTO DE FASE BIFÁSICO,15
M,OU,8875,PROTETOR DE BARRAMENTO (METRO),15
UN,MP,8876,TERMINAL TUBULAR ILHOS 16MM2,01
UN,MP,8877,TERMINAL TUBULAR ILHOS 25MM2,01
UN,MP,8878,TERMINAL PINO CURTO DE 6 A 25MM²,01
M,MP,8879,"CABO FLEXIVEL ANTICHAMA 750V 70 C4 16,00MM2 PRETO",01
M,MP,8880,"CABO FLEXÍVEL ANT.CHAMA 750V - 70 C4 25,00MM² AZUL - INATIVO",15
UN,MP,8882,INTERRUPTOR DIFERENCIAL RESIDUAL TETRAPOLAR 63A 30MA STECK,01
UN,MP,8884,DISJUNTOR 16A -4KA 1P CURVA C,15
UN,MP,8885,"JOELHO 90° BUCHA DE LATAO 25MMX3/4"" SOLDAVEL PVC AZUL AGUA FRIA AMANCO",01
PC,OU,8886,"PARAFUSO ROSCA SOBERBA CABEÇA CHATA 4,2X50MM",15
UN,MP,8887,CAIXA P/ QUADRO DE DISTRIBUIÇÃO 16/24 DISJUNTORES,15
PC,OU,8888,"PARAFUSO ROSCA SOBERBA PHILLIPS 4,5X50MM",15
PC,OU,8889,"PARAFUSO SEXTAVADO ROSCA SOBERBA 1/4""X60MM",01
UN,MP,8890,BACIA P/ CAIXA ACOPLADA (BRANCA),15
UN,MP,9062,"TERMINAL TUBULAR ILHOS 1,5MM2",01
UN,MP,9063,"TERMINAL TUBULAR ILHOS 2,5MM2",01
UN,MP,9064,TERMINAL TUBULAR ILHOS 4MM2,01
UN,MP,9065,TERMINAL TUBULAR ILHOS 6MM2,01
UN,MP,9066,"BÓIA P/ CAIXA D ÁGUA 1""",15
PC,MP,9067,ABRAÇADEIRA PARA CONDUTOR PLUVIAL,15
UN,MP,9068,"PORTA AL 90X210 GIRO A DIR, VENEZIANA COM VENTILAÇÃO",15
UN,MP,9069,KIT MADEIRA ROXINHO + FIXAÇÕES,15
UN,MP,9071,KIT POLICARBONATO 10MM,15
UN,OU,9106,PASTA SANFONADA PLÁSTICA C/ 12 DIVISÓRIAS,07
UN,OU,9175,CAMISETA POLIVISCOSE MANGA CURTA PP,07
UN,OU,9176,CAMISETA POLIVISCOSE MANGA CURTA P,07
UN,OU,9177,CAMISETA POLIVISCOSE MANGA CURTA M,07
UN,OU,9178,CAMISETA POLIVISCOSE MANGA CURTA G,07
UN,OU,9180,CAMISETA POLIVISCOSE MANGA CURTA GG,07
UN,OU,9185,CAMISETA POLIVISCOSE MANGA LONGA PP,07
UN,OU,9187,CAMISETA POLIVISCOSE MANGA LONGA P,07
SE,SE,8841,SERVIÇO DE PROJETO EXECUTIVO,09
UN,MP,8897,TE SOLDAVEL 60MM,15
PC,PA,8986,"KIT SHAFT HIDRÔMETRO BLOCO D,M TIPO 2_TCT_SLB",04
PC,PA,8987,KIT SHAFT HIDRÔMETRO DEMAIS BLOCOS TIPO 1_TCT_SLB,04
PC,PA,8988,KIT SHAFT CORREDOR 2º E 4º PAVTO_TCT_SLB,04
PC,PA,8989,KIT SHAFT CORREDOR 3º PAVTO_TCT_SLB,04
PC,PA,8990,KIT SHAFT CORREDOR TÉRREO_TCT_SLB,04
UN,DI,9051,ASPIRADOR JATEADOR 220V,15
UN,FE,9052,"PINCEL (TRINCHA) 2 1/2""",07
UN,OU,9053,PASTA TÉRMICA THERMAL SILVER 5G,07
UN,OU,9054,ALICATE PRENSA TERMINAL,07
UN,OU,9055,ALICATE PRENSA TERMINAL PARA CABO 25MM,15
UN,OU,9056,ALICATE DE CORTE PARA CABO 25MM,15
UN,OU,9057,LIMA REDONDA,15
UN,FE,9058,CHAVE CANHÃO 7MM,15
UN,FE,9059,CHAVE COMBINADA 12MM,07
UN,OU,9060,"MANGUEIRA PISCINA 11/2"" SILICONADA",15
SE,SE,8782,SERVIÇO DE PROJETO ELÉTRICO,15
SE,SE,8797,SERVIÇO DE PROJETO DE SEGURANÇA,09
UN,MP,8891,CAIXA P/ BACIA ACOPLADA (BRANCA),01
UN,MP,8892,LAVATÓRIO 46X35CM PARA COLUNA (BRANCA),15
UN,MP,8893,COLUNA (BRANCA),15
PC,MP,8894,CUBA EM AÇO INOX 34X56X15CM,15
UN,MP,8895,"PIA DE COZINHA MARM. SINT. 1,20X0,54M - TRAVERTINO",15
SC,MP,8943,MASSA DE GESSO 15KG,01
BD,MP,8944,MASSA CIMENTICIA 5KG,15
PC,MP,8961,DISPOSITIVO DE ANCORAGEM NO ENTREPISO,07
PC,MP,8979,PINUS BRUTO 49X150X2500MM,15
UN,OU,9149,"TALHADEIRA 8""",07
PC,OU,9152,LUVA LATEX DESCARTÁVEL CAIXA COM 50 UNIDADES TAM G,15
PC,OU,9153,LUVA LATEX DESCARTÁVEL CAIXA COM 50 UNIDADES TAM M,15
UN,OU,9247,F30 KIT PARA TESTES DE SELAGEM,15
UN,OU,9248,PROTETOR SOLAR FATOR 60 2 LITROS,07
UN,OU,9249,PROTETOR SOLAR FATOR 60 4 LITROS,15
UN,EM,8896,SACO DE LIXO 250L,15
UN,OU,8921,OLEO 140 BD 20L,15
UN,OU,8922,OLEO HIDRAULICO ATF MAX BD 20L,07
UN,OU,9189,CAMISETA POLIVISCOSE MANGA LONGA M,07
UN,OU,9190,CAMISETA POLIVISCOSE MANGA LONGA G,07
UN,OU,9191,CAMISETA POLIVISCOSE MANGA LONGA GG,07
UN,OU,9192,CAMISETA POLIVISCOSE MANGA LONGA PP (FÁBRICA),07
UN,OU,9193,CAMISETA POLIVISCOSE MANGA LONGA  P (FÁBRICA),07
UN,OU,9194,CAMISETA POLIVISCOSE MANGA LONGA M (FÁBRICA),07
UN,OU,9195,CAMISETA POLIVISCOSE MANGA LONGA G (FÁBRICA),07
UN,OU,9196,CAMISETA POLIVISCOSE MANGA LONGA GG (FÁBRICA),07
UN,OU,9197,CAMISETA POLO MASCULINA PP,07
UN,OU,9198,CAMISETA POLO MASCULINA P,07
UN,OU,9199,CAMISETA POLO MASCULINA M,07
UN,OU,9200,CAMISETA POLO MASCULINA G,07
UN,OU,9201,CAMISETA POLO MASCULINA GG,07
SE,SE,8940,SERVIÇO DE CORTE A LASER - POR PROJETO,15
UN,OU,8941,ESCORREDOR DE COPOS,15
UN,OU,8960,VEDA PORTA 90CM,07
PC,MP,8994,PINUS APARELHADO 50X40X3000,15
R,OU,9014,ETIQUETAS DE PREÇO,07
PC,OU,9061,GABARITO JACARÉ,15
UN,OU,9070,BLOCO POST-IT 76X76MM,15
UN,OU,9072,BLOCO POST-IT 38X50MM PACOTE COM 4 UNIDADES,15
UN,MP,9073,PERFIL N 3344 SV PINT BRANCO 656MM,15
UN,MP,9074,PERFIL N 3344 CV PINT BRANCO 656MM,15
UN,MP,9075,PERFIL ES 1176 PINT BRANCO 1200MM,15
UN,MP,9076,PERFIL ES 1175 PINT BRANCO 1200MM,15
UN,MP,9077,PERFIL ES 1174 PINT BRANCO 1370MM,15
UN,MP,9078,PERFIL ES 679 PINT BRANCO 800MM,15
UN,OU,9079,MOUSE USB OPTICO COM FIO,07
UN,MT,9090,FITA CREPE 18X50M,07
UN,OU,9091,TESOURA 17CM,15
UN,MP,8942,CAIXA DE LUZ 2X4 DE EMBUTIR AMARELA (RETANGULAR),15
UN,DI,9125,"RÉGUA DE NÍVEL 72""",15
UN,OU,9126,TERMÔMETRO DIGITAL DE TESTA,07
PC,FE,9127,REGUA 3MT (SP6000),08
PC,FE,9128,SERRA CIRCULAR 5007N 220V,08
UN,MT,9129,SERRA SABRE 220V 1010-1510W 2800GPM,08
UN,DI,9130,PLAINA ELÉTRICA GHO026-82D 220V 710W 18000RPM,08
UN,OU,9131,"PARAFUSADEIRA ELÉTRICA DRYWALL 220V 540-720W ENCAIXE 1/4""4500RPM",08
UN,OU,9132,"PARAFUSADEIRA IMPACTO 1/4"" 220V CIMENTÍCIA",08
UN,OU,9133,"PARAFUSADEIRA BATERIA DRYWALL 18V ENCAIXE 1/4"" 4000RPM",07
UN,OU,9134,CHAVE DE IMPACTO A BATERIA MAKITA,07
UN,FE,9135,NÍVEL LASER GCL2 BOSCH VERDE,15
UN,OU,9136,MARTELETE 220V 720-820W 740-1300RPM 5100IPM ENCAIXE SDS PLUS,08
UN,MP,9251,PERFIL ALUMÍNIO COLORIDO (FABRICAÇÃO ESQUADRIAS),01
M,OU,9335,CABO DE REDE CAT6 AZUL,07
M,OU,9337,CABO DE REDE FTP BLINDADO CAT6,15
UN,DI,8781,LUXÍMETRO DÍGITAL,15
UN,OU,8786,PATINS PARA GUIA LINEAR KWVE25-B INA,15
UN,OU,8787,PATINS PARA GUIA LINEAR KWVE25-H INA,15
UN,OU,8796,CAIXA DE SOM MULTIUSO COM MICROFONE CONTROLE REMOTO E BATERIA INTERNA,08
UN,OU,8803,CAIXA METÁLICA M1,15
PCT,OU,8962,PAPEL FOTOGRAFICO,07
M2,PA,9085,PAINEL CONSTRUTIVO EM MADEIRA_HME_PLI,15
M2,PA,9086,PAINEL CONSTRUTIVO EM MADEIRA_HME_EXT,15
UN,OU,9163,SUPORTE DE LIXEIRAS BASCULANTES,07
UN,OU,9164,LIXEIRA BASCULANTE 50L - AMARELA,07
UN,OU,9165,LIXEIRA BASCULANTE 50L - CINZA,07
UN,OU,9166,LIXEIRA BASCULANTE 50L - VERDE,07
UN,OU,9202,CAMISETA POLO FEMININA PP,07
UN,OU,9203,CAMISETA POLO FEMININA P,07
UN,OU,9204,CAMISETA POLO FEMININA M,07
UN,OU,9205,CAMISETA POLO FEMININA G,07
UN,OU,9206,CAMISETA POLO FEMININA GG,07
UN,OU,8789,FITA DE DEMARCAÇÃO BRANCA 50MMX30M,07
UN,OU,8790,"TINTA ACRILICA DE DEMARCAÇÃO AMARELA 3,6L",07
UN,OU,8791,"TINTA ACRILICA DE DEMARCAÇÃO AZUL 3,6L",07
UN,OU,8792,"TINTA ACRILICA DE DEMARCAÇÃO BRANCA 3,6L",07
UN,OU,8793,"TINTA ACRILICA DE DEMARCAÇÃO VERMELHA 3,6L",07
UN,OU,8959,PORTA DOCUMENTO ACP,15
UN,MP,8972,ARRUELA LISA ABA LARGA FURO 10MM DIAM 30MM (ZINCADA),15
UN,MP,8974,"RESINA SINTÉTICA BIANCO - 3,6KG",15
PCT,OU,9023,SACO DE LIXO 30L,07
PCT,OU,9024,SACO DE LIXO 15 LITROS,15
UN,OU,9025,ESPANADOR DE PÓ,07
UN,OU,9026,CALIBRADOR COM MANOMETRO 220 LIBRAS,15
UN,OU,9027,CELULAR SAMSUNG GALAXY A10,08
UN,OU,9028,CAPA PROTETORA CELULAR A10,07
UN,OU,9029,PELICULA DE VIDRO CELULAR GALAXY A10,07
PC,MP,9107,CORRIMÃO DA ESCADA_HME_PLI/EXT,15
UN,MP,9108,CORANTE LIQUIDO PRETO 50ML (PIGMENTO),07
UN,MP,10146,BUCHA REDUÇÃO SOLDÁVEL 32X25MM MARROM,01
M,MP,10413,LUVA DE COBRE BOLSA-BOLSA Ø22MM,15
PC,MP,10467,BASE PILAR 160X140MM A TRATAR,15
UN,MP,10471,"KIT JANELA MAXIM-AR 80X80CM, 1 FLH, BRANCO",15
UN,MP,10472,"KIT JANELA DE CORRER 150X120CM, 2 FLH, BRANCO",15
M,OU,10482,EMENDA PVC H BRANCO NEVE,01
M,MP,10483,ACABAMENTO V,01
PC,MP,10484,"LUVA EMENDA 2"" P/ ELETRODUTO CORRUGADO",15
PC,MP,10485,CONECTOR SPLIT BOLT 16MM² COBRE,15
PC,MP,10486,CONECTOR SPLIT BOLT 25MM² COBRE,15
M,OU,10487,BARRAMENTO DE FASE TRIPOLAR 80A,01
UN,MP,10488,CAIXA DE PASSAGEM ELÉTRICA DE CONCRETO 30X30CM COM TAMPA,01
UN,MP,10489,DISJUNTOR 10A 3KA 2P CURVA C SOPRANO,01
UN,MP,10492,DISJUNTOR 80A 10KA 3P CURVA C SOPRANO,01
UN,MP,10493,INTERRUPTOR DIFERENCIAL RESIDUAL TETRAPOLAR 80A 30MA ENERBRAS,01
M,MP,10495,"ELETRODUTO FLEXÍVEL CORRUGADO PEAD 2""",15
PC,MP,10502,"LUVA EMENDA 1.1/2"" P/ ELETRODUTO CORRUGADO",15
UN,EQ,10667,PROTETOR AURICULAR TIPO ESPUMA,07
PC,OU,10745,TENDA PIRAMIDE 5X5M,07
PC,OU,10746,CORTINA CRISTAL PARA TENDA,07
PC,OU,10747,CORTINA PVC PARA TENDA,07
PC,OU,10748,CALHA PVC PARA TENDA,07
PC,OU,10749,SAPATEIRA,08
M2,MP,10831,PISO LAMINADO LINHA PRIME CARVALHO MAIORCA - EUCAFLOOR,01
PC,MP,10832,"SOLEIRA PEDRA NATURAL 96,5X3,5X2CM",15
PC,MP,10833,"SOLEIRA PEDRA NATURAL 80X9,5X2CM",01
PC,MP,10834,"SOLEIRA PEDRA NATURAL 80,5X14X2CM",15
KG,OU,10835,TEXTURA ELASTOMÉRICA - COR CRAVO-BRANCO (SUVINIL CÓD: A549),15
KG,OU,10836,TEXTURA ELASTOMÉRICA - COR ESTRELA INTENSA (SUVINIL CÓD: R671),15
KG,OU,10837,TEXTURA ELASTOMÉRICA - COR PEPITA DE BISMUTO (SUVINIL CÓD: C398),15
KG,MP,10838,TEXTURA ELASTOMÉRICA - COR GRAFITE LAPISEIRA (SUVINIL CÓD: P756),15
UN,MP,10839,"TELA DE AÇO CA-60 SOLDADA Q196 (100X100MM/QUADRADA/FIO: 5,00 MM)",01
UN,FE,9645,"CAVADEIRA MANUAL TIPO TRADO 10""",07
UN,OU,10055,RODO MÁGICO (VASSOURA ESFREGÃO LIMPA E SECA),07
UN,MP,10289,LUVA DE REDUCAO COBRE 22X15MM,15
UN,MP,10290,TÊ DE REDUÇÃO COBRE 22MMX15MM,15
UN,OU,10293,BIT PH2 1/4 30MM COM LIMITADOR,07
UN,MP,10294,TUBO COBRE TIPO A Ø15MM,15
UN,MP,10295,CONECTOR BOLSA ROSCA M 15MM X 1/2,15
UN,MP,10296,CONECTOR BOLSA ROSCA M 22MM X 3/4,15
UN,MP,10297,REGISTRO ESFERA Ø1/2,01
UN,MP,10298,REGISTRO ESFERA Ø3/4,15
FR,OU,10570,ALCOOL ETILICO 70º (ANTISSÉPTICO),07
UN,OU,10605,"MINI RACK 19"" X 8U X 480MM",08
PC,DI,10684,CILINDRO PNEUMATICO COMPACTO 40X50MM,07
PC,MP,11181,"PARAFUSO COM PORCA E ARRUELA G5 3/8X1.3/4"" TRATADO",01
UN,OU,11221,SSD KINGSTON 2.5 960GB,08
UN,MP,11223,"VÉU DE FIBRA DE VIDRO PR-10 - 0,10X20M",15
UN,CO,9503,OSB L_P2 33_TCT_ADL,15
UN,CO,9504,OSB L_P2 44_TCT_ADL,15
UN,CO,9505,OSB L_P2 45_TCT_ADL,15
UN,CO,9506,OSB L_P2 49_TCT_ADL,15
UN,CO,9507,OSB L_P2 50_TCT_ADL,15
UN,CO,9508,OSB L_PT 01_TCT_ADL,15
UN,CO,9509,OSB L_PT 02_TCT_ADL,15
UN,CO,9510,OSB L_PT 03_TCT_ADL,15
UN,CO,9511,OSB L_PT 04_TCT_ADL,15
UN,CO,9512,OSB L_PT 05_TCT_ADL,15
UN,CO,9513,OSB L_PT 06_TCT_ADL,15
UN,CO,9514,OSB L_PT 07_TCT_ADL,15
UN,CO,9515,OSB L_PT 08_TCT_ADL,15
UN,CO,9516,OSB L_PT 09_TCT_ADL,15
UN,CO,9517,OSB L_PT 10_TCT_ADL,15
UN,CO,9518,OSB L_PT 11_TCT_ADL,15
KG,MP,9694,PREGO ANELADO 15X21 GALVANIZADO,15
PC,MP,9773,PARAFUSO SEXTAVADO 1/4X1.1/2 TRATADO,01
UN,FE,10324,"TRINCHA 3""",07
UN,OU,10443,RODA PARA CARINHO (PLATAFORMA - MAO),07
M,MP,10496,"ELETRODUTO CORRUGADO PVC REFORÇADO LARANJA DN 32MM (REF. 1"")",01
SE,SE,10500,SERVIÇO DE FILMAGEM,09
SE,SE,10504,SERVIÇO DE CALIBRAÇÃO DE FERRAMENTAS,09
UN,MP,10506,GESSO ACARTONADO RF 15X1200X3000MM,15
UN,MP,10512,JANELA 80X80 1FMAX-AR VD MINI BOREAL AL20 BCO,01
UN,MP,10513,KIT TELA MOSQUETEIRO P/ JANELA TROX 40X40CM,15
UN,MP,10514,"PORTA GIRO 90X210CM, 1 FLH, VNZ S/ VENTILAÇÃO, DIR, BRANCO",15
PC,MP,10530,CARENAGEM ASTRA CAR/183E,15
UN,MP,10531,VASO SANITÁRIO COM CAIXA ACOPLADA,01
PC,MP,10532,TAMPO P/ PIA DE COZINHA 160X50CM C/ CUBA INOX,15
PC,MP,10533,CUMEEIRA TELHA FIBROCIMENTO TOPCOMFORT 1100X420MM ESP 6MM,15
PC,MP,10534,TAMPO P/ PIA DE COZINHA 120X60CM C/ CUBA MARMORITE,15
PC,MP,10535,TANQUE MIN. 20L DE MARMORITE SEM COLUNA,15
M2,MP,10840,CERÂMICA PISO 45X45 ESMALTADO PEI4 - CÁDIS (CRISTOFOLETTI CÓD: 45821),15
UN,PA,10853,TRELICA_TA-02,04
UN,PA,10854,TRELICA_PLAT_TECHOME,04
UN,PA,10855,TECHOME_HID,04
UN,MP,10860,PLACA CIMENTÍCIA - BR3,15
UN,MP,10861,"PLACA ST 1,2X1,8 - BR3",15
PC,MP,10862,ABRAÇADEIRA DE PLÁSTICO PARA PEX Ø16MM,15
M,MP,10863,PERFIL ACABAMENTO EM MADEIRA FRONTAL ESCADA,15
PC,PA,10874,PVTO_KIT_ELÉT_TECHOME,04
UN,PA,10875,TECHOME_COB_ESQ,04
UN,PA,10876,TECHOME_COB_DIR,04
UN,PA,10877,KIT_COB_ESQ_TECHOME,04
UN,MP,10878,INTERRUPTOR INTELIGENTE,15
UN,OU,10879,KIT CASA SEGURA,07
UN,OU,10880,SMART CONTROLE UNIVERSAL,15
UN,OU,10881,SMART CAMERA WI-FI,07
UN,OU,10882,SMART LÂMPADA WI-FI,07
PC,MP,9706,KIT ESCADA METÁLICA,15
UN,MT,10174,PASSA FIO ALMA DE AÇO 20M,07
SE,SE,10175,TEMPLATE PARA SOFTWARE REVIT,09
PC,MP,10199,PINUS BRUTO 43X106X3000MM,15
M,MP,10222,VIGA METÁLICA W 150 X 13 A TRATAR,15
PC,OU,10490,WEBCAM,08
PC,OU,10491,HEADSET P2 PH041 MULTILASER,08
UN,MP,10773,"CONTRAMARCO 5,6M TCV-0001 A TRATAR",15
UN,PA,10936,TECHOME_QD_ESQ,04
PC,CO,10993,"RODÍZIO PLACA FIXA 10"" X 3""",07
PC,CO,10994,"RODÍZIO GIRATÓRIA 10"" X 3""",07
UN,PA,11004,KIT_PING_BLD_FDL,15
CJ,MP,11033,"CONJUNTO BATENTE  MADEIRA MACIÇA CEDRO ARANA BAT 135,5MM",15
UN,MP,11224,JANELA MAXIM-AR 1F FIXO INF (30CM) - 60X90CM VID MINI BOREAL BRANCO,15
UN,MP,11225,JANELA MAXIM-AR 1F 40X60CM VIDRO MINI BOREAL BRANCO,15
UN,MP,11226,JANELA CORRER 2F 110X120CM VIDRO LISO 4MM BRANCO,15
UN,CO,9519,OSB L_PT 20_TCT_ADL,15
UN,CO,9520,OSB L_PT 31_TCT_ADL,15
UN,CO,9521,OSB L_PT 42_TCT_ADL,15
UN,CO,9522,OSB R_P2 02_TCT_ADL,15
UN,CO,9523,OSB R_P2 03_TCT_ADL,15
UN,CO,9524,OSB R_P2 04_TCT_ADL,15
UN,CO,9525,OSB R_P2 05_TCT_ADL,15
UN,CO,9526,OSB R_P2 06_TCT_ADL,15
UN,CO,9527,OSB R_P2 07_TCT_ADL,15
UN,CO,9528,OSB R_P2 08_TCT_ADL,15
UN,CO,9529,OSB R_P2 09_TCT_ADL,15
UN,CO,9530,OSB R_P2 10_TCT_ADL,15
UN,CO,9531,OSB R_P2 11_TCT_ADL,15
UN,CO,9532,OSB R_P2 21_TCT_ADL,15
UN,CO,9533,OSB R_P2 22_TCT_ADL,15
UN,CO,9534,OSB R_P2 33_TCT_ADL,15
UN,OU,9573,SWITCH 24 PORTAS 10/100/1000 Mbps,15
UN,OU,9574,SWITCH 8 PORTAS 10/100/1000 Mbps,08
UN,OU,9575,CAPA RJ-45 AMARELO,15
UN,OU,9576,CAPA RJ-45 PRETO,15
UN,OU,9577,CAPA RJ-45 VERMELHO,15
UN,OU,9578,CAPA RJ-45 AZUL,15
M,OU,9579,ORGANIZADOR DE CABOS (PLÁSTICO),15
UN,PA,10515,TRELIÇAS_ARI_CS_GER,04
UN,MP,10536,"CONTRAMARCO BRANCO 2,3M TCV-0001",15
UN,FE,10571,"BATERIA SELADA 125V/5,0 Ah",07
UN,OU,10572,PLACA MINI (AC_3) MONTADA PADRÃO 24V UN-V08,15
UN,MP,10577,DISJUNTOR 40A 3KA 1P CURVA C SOPRANO,01
BD,OU,10578,"TINTA ESMALTE SINTÉTICO ANTI FERRUGEM BRANCO 2,4L",15
PC,OU,10587,FILTRO PARA EXAUSTOR 500X850MM,07
PC,OU,10588,FILTRO PARA EXAUSTOR 500X1100MM,07
UN,OU,10589,PECA DE MADEIRA 25X50X3000MM DE EUCALIPTO,07
UN,PA,10883,TECHOME_QD_DIR,04
UN,OU,10884,ECHO SHOW,07
UN,PA,10904,KIT_PINGADEIRA_PPARK,04
